 Date  ,Year,Month,State,City,Metro City,Age Group,Education_Level,Family Background,Labour Force,Employed People,Unemployed People,Male Unemployed,Female Unemployed,Unemployement Rate ,Urban Unemployement ,Rural Unemployement ,Youth Unemployement 
2022-02,2022,Feb,Manipur,Bangalore,Yes,25-34,Secondary School,Upper Middle,5469611,5171224,298387,202511,95876,5.46,6.70,5.35,10.45
2022-03,2022,Mar,Manipur,Ahmedabad,Yes,35-44,Postgraduate,Lower Middle,5558757,5088994,469763,278684,191079,8.45,8.95,8.49,12.02
2022-04,2022,Apr,Manipur,Non-Metro,No,35-44,Secondary School,Rich,5356394,4992701,363693,252110,111583,6.79,6.40,5.23,12.21
2022-05,2022,May,Manipur,Bangalore,Yes,18-24,Primary School,Poor,5359550,5089948,269602,180660,88942,5.03,4.99,4.17,10.99
2022-06,2022,Jun,Manipur,Non-Metro,No,35-44,Primary School,Poor,5347622,4912489,435133,272379,162754,8.14,8.38,7.98,12.06
2022-07,2022,Jul,Manipur,Pune,Yes,55-60,Secondary School,Upper Middle,5533616,5383599,150017,96559,53458,2.71,3.60,3.57,6.87
2022-08,2022,Aug,Manipur,Kolkata,Yes,45-54,Secondary School,Upper Middle,5604179,5282686,321493,203668,117825,5.74,5.74,5.42,8.12
2022-09,2022,Sep,Manipur,Mumbai,Yes,35-44,Undergraduate,Lower Middle,5324902,4992787,332115,226331,105784,6.24,7.31,5.39,11.71
2022-10,2022,Oct,Manipur,Kolkata,Yes,35-44,Primary School,Rich,5523562,5282790,240772,148297,92475,4.36,5.82,4.20,9.69
2022-11,2022,Nov,Manipur,Non-Metro,No,45-54,Secondary School,Upper Middle,5219260,4962434,256826,152935,103891,4.92,4.33,4.63,8.55
2022-12,2022,Dec,Manipur,Pune,Yes,25-34,Primary School,Poor,5574653,5186247,388406,265003,123403,6.97,7.69,6.17,10.47
2023-01,2023,Jan,Manipur,Delhi,Yes,35-44,No Formal Education,Rich,5751850,5381787,370063,220062,150001,6.43,8.11,6.04,10.61
2023-02,2023,Feb,Manipur,Chennai,Yes,18-24,Higher Secondary,Lower Middle,5570445,5323484,246961,150166,96795,4.43,3.60,3.81,8.63
2023-03,2023,Mar,Manipur,Mumbai,Yes,18-24,Secondary School,Upper Middle,5427975,5102714,325261,194340,130921,5.99,5.22,6.12,9.92
2023-04,2023,Apr,Manipur,Bangalore,Yes,45-54,Secondary School,Lower Middle,5703607,5240400,463207,323041,140166,8.12,8.09,8.47,13.16
2023-05,2023,May,Manipur,Pune,Yes,45-54,Secondary School,Rich,5381604,5070279,311325,184878,126447,5.78,6.02,5.40,7.98
2023-06,2023,Jun,Manipur,Non-Metro,No,55-60,Secondary School,Poor,5213065,4851122,361943,212359,149584,6.94,7.18,6.89,11.79
2023-07,2023,Jul,Manipur,Ahmedabad,Yes,18-24,Secondary School,Upper Middle,5662624,5334748,327876,218164,109712,5.79,5.84,6.78,11.35
2023-08,2023,Aug,Manipur,Hyderabad,Yes,18-24,No Formal Education,Poor,5238289,4819458,418831,265743,153088,8.00,7.43,8.71,13.87
2023-09,2023,Sep,Manipur,Ahmedabad,Yes,35-44,Postgraduate,Upper Middle,5305808,5064628,241180,135506,105674,4.55,6.29,5.19,10.54
2023-10,2023,Oct,Manipur,Chennai,Yes,55-60,Higher Secondary,Upper Middle,5345673,4832420,513253,341054,172199,9.60,10.01,9.40,11.73
2023-11,2023,Nov,Manipur,Kolkata,Yes,35-44,Primary School,Upper Middle,5750869,5243618,507251,327459,179792,8.82,10.57,7.88,12.46
2023-12,2023,Dec,Manipur,Hyderabad,Yes,55-60,Undergraduate,Upper Middle,5221856,4875494,346362,204553,141809,6.63,7.70,5.29,10.39
2024-01,2024,Jan,Manipur,Non-Metro,No,55-60,Higher Secondary,Upper Middle,5460441,5005082,455359,304557,150802,8.34,8.28,6.69,11.43
2024-02,2024,Feb,Manipur,Non-Metro,No,25-34,Higher Secondary,Poor,5326721,4883003,443718,274350,169368,8.33,9.49,8.39,10.71
2024-03,2024,Mar,Manipur,Delhi,Yes,35-44,Primary School,Poor,5411320,5018885,392435,260373,132062,7.25,8.27,7.78,10.85
2024-04,2024,Apr,Manipur,Ahmedabad,Yes,25-34,Postgraduate,Upper Middle,5498220,5027794,470426,287068,183358,8.56,8.37,8.72,11.38
2024-05,2024,May,Manipur,Kolkata,Yes,25-34,Undergraduate,Rich,5534993,5234455,300538,185781,114757,5.43,5.11,5.00,10.65
2024-06,2024,Jun,Manipur,Non-Metro,No,18-24,Undergraduate,Poor,5405698,5157132,248566,160656,87910,4.60,5.98,2.90,7.68
2024-07,2024,Jul,Manipur,Non-Metro,No,25-34,Primary School,Upper Middle,5745598,5389598,356000,248117,107883,6.20,5.50,6.43,11.42
2024-08,2024,Aug,Manipur,Non-Metro,No,18-24,Secondary School,Poor,5360663,4885737,474926,294806,180120,8.86,9.98,9.59,13.47
2024-09,2024,Sep,Manipur,Hyderabad,Yes,45-54,Higher Secondary,Rich,5312281,5008320,303961,196485,107476,5.72,6.02,4.91,11.47
2024-10,2024,Oct,Manipur,Pune,Yes,18-24,No Formal Education,Rich,5295788,4794237,501551,276593,224958,9.47,10.18,8.78,13.13
2024-11,2024,Nov,Manipur,Delhi,Yes,45-54,Primary School,Upper Middle,5668917,5170239,498678,292970,205708,8.80,10.59,9.65,12.24
2024-12,2024,Dec,Manipur,Non-Metro,No,45-54,Secondary School,Poor,5638419,5116891,521528,344636,176892,9.25,9.50,9.80,12.17
2020-01,2020,Jan,Meghalaya,Non-Metro,No,55-60,Secondary School,Rich,25123567,23451179,1672388,1164670,507718,6.66,6.88,6.90,9.11
2020-02,2020,Feb,Meghalaya,Non-Metro,No,35-44,Higher Secondary,Rich,24280876,22047772,2233104,1498640,734464,9.20,10.01,7.79,13.18
2020-03,2020,Mar,Meghalaya,Non-Metro,No,25-34,No Formal Education,Lower Middle,24908734,22745404,2163330,1288873,874457,8.69,8.91,7.53,13.61
2020-04,2020,Apr,Meghalaya,Non-Metro,No,25-34,Undergraduate,Poor,24267472,22202331,2065141,1189018,876123,8.51,7.86,8.47,11.64
2020-05,2020,May,Meghalaya,Bangalore,Yes,45-54,Postgraduate,Poor,25180133,23046054,2134079,1484541,649538,8.48,8.41,8.32,13.24
2020-06,2020,Jun,Meghalaya,Non-Metro,No,55-60,Secondary School,Lower Middle,24670921,23292251,1378670,939295,439375,5.59,5.71,6.44,7.68
2020-07,2020,Jul,Meghalaya,Kolkata,Yes,25-34,Undergraduate,Rich,24463640,22510735,1952905,1147991,804914,7.98,7.29,8.81,13.16
2020-08,2020,Aug,Meghalaya,Chennai,Yes,35-44,Postgraduate,Rich,24115689,22538080,1577609,1036175,541434,6.54,7.26,5.98,10.51
2020-09,2020,Sep,Meghalaya,Kolkata,Yes,35-44,Undergraduate,Upper Middle,23891505,22102991,1788514,988914,799600,7.49,8.34,7.44,10.28
2020-10,2020,Oct,Meghalaya,Non-Metro,No,18-24,No Formal Education,Upper Middle,24262811,22504621,1758190,1140893,617297,7.25,6.65,5.42,12.72
2020-11,2020,Nov,Meghalaya,Mumbai,Yes,55-60,Undergraduate,Lower Middle,26132716,24654029,1478687,929400,549287,5.66,5.65,3.72,8.20
2020-12,2020,Dec,Meghalaya,Non-Metro,No,18-24,Postgraduate,Rich,25395913,24207950,1187963,674807,513156,4.68,5.95,4.42,9.43
2021-01,2021,Jan,Meghalaya,Bangalore,Yes,55-60,Primary School,Poor,23671280,21152231,2519049,1737223,781826,10.64,11.95,9.95,16.43
2021-02,2021,Feb,Meghalaya,Chennai,Yes,55-60,Undergraduate,Rich,24828950,22760878,2068072,1408855,659217,8.33,9.52,7.43,10.75
2021-03,2021,Mar,Meghalaya,Kolkata,Yes,18-24,Primary School,Upper Middle,25667698,23712172,1955526,1123385,832141,7.62,8.36,8.54,12.66
2021-04,2021,Apr,Meghalaya,Ahmedabad,Yes,55-60,No Formal Education,Poor,24718843,22907700,1811143,997352,813791,7.33,8.10,5.62,11.52
2021-05,2021,May,Meghalaya,Mumbai,Yes,25-34,Primary School,Rich,25231312,22981692,2249620,1288804,960816,8.92,7.99,8.15,12.25
2021-06,2021,Jun,Meghalaya,Bangalore,Yes,35-44,Secondary School,Rich,25331685,23222293,2109392,1228552,880840,8.33,9.70,8.74,13.19
2021-07,2021,Jul,Meghalaya,Mumbai,Yes,18-24,Undergraduate,Rich,26145426,24655563,1489863,842527,647336,5.70,6.19,5.13,11.30
2021-08,2021,Aug,Meghalaya,Non-Metro,No,45-54,Higher Secondary,Poor,23750736,22449876,1300860,777890,522970,5.48,6.31,5.57,8.85
2021-09,2021,Sep,Meghalaya,Mumbai,Yes,18-24,Undergraduate,Poor,25513000,23426035,2086965,1307400,779565,8.18,7.72,6.86,10.28
2021-10,2021,Oct,Meghalaya,Kolkata,Yes,35-44,Undergraduate,Rich,25464998,22388628,3076370,2065950,1010420,12.08,13.79,12.10,17.67
2021-11,2021,Nov,Meghalaya,Bangalore,Yes,55-60,Higher Secondary,Rich,25618456,24880235,738221,416352,321869,2.88,4.37,3.75,7.67
2021-12,2021,Dec,Meghalaya,Non-Metro,No,18-24,Postgraduate,Rich,24181750,23323714,858036,474529,383507,3.55,3.27,1.92,7.89
2022-01,2022,Jan,Meghalaya,Non-Metro,No,55-60,Primary School,Lower Middle,25199785,23060647,2139138,1492879,646259,8.49,10.33,9.28,12.01
2022-02,2022,Feb,Meghalaya,Non-Metro,No,45-54,No Formal Education,Lower Middle,23860145,21877464,1982681,1141590,841091,8.31,8.33,7.94,13.16
2022-03,2022,Mar,Meghalaya,Ahmedabad,Yes,55-60,Postgraduate,Poor,25418487,23311466,2107021,1335415,771606,8.29,8.58,8.65,12.14
2022-04,2022,Apr,Meghalaya,Delhi,Yes,55-60,No Formal Education,Lower Middle,26008116,24749415,1258701,784115,474586,4.84,6.30,4.50,7.56
2022-05,2022,May,Meghalaya,Ahmedabad,Yes,25-34,Higher Secondary,Poor,25539865,23495011,2044854,1373476,671378,8.01,9.50,6.15,13.42
2022-06,2022,Jun,Meghalaya,Hyderabad,Yes,35-44,Secondary School,Poor,25030250,23295487,1734763,1005463,729300,6.93,7.52,5.09,9.56
2022-07,2022,Jul,Meghalaya,Bangalore,Yes,45-54,Primary School,Rich,24245583,22688002,1557581,962593,594988,6.42,6.77,6.79,10.90
2022-08,2022,Aug,Meghalaya,Chennai,Yes,18-24,Primary School,Upper Middle,23945928,22152360,1793568,1028521,765047,7.49,7.90,6.37,10.60
2022-09,2022,Sep,Meghalaya,Ahmedabad,Yes,35-44,Higher Secondary,Poor,24512837,23407254,1105583,661798,443785,4.51,4.28,3.98,10.41
2022-10,2022,Oct,Meghalaya,Kolkata,Yes,55-60,Postgraduate,Rich,24494295,22779279,1715016,1096335,618681,7.00,8.88,7.15,12.15
2022-11,2022,Nov,Meghalaya,Bangalore,Yes,55-60,Postgraduate,Lower Middle,24784919,22691413,2093506,1420979,672527,8.45,10.00,8.99,11.87
2022-12,2022,Dec,Meghalaya,Bangalore,Yes,55-60,Primary School,Upper Middle,25737928,23089299,2648629,1794755,853874,10.29,9.30,9.86,13.67
2023-01,2023,Jan,Meghalaya,Bangalore,Yes,45-54,Postgraduate,Rich,24077669,22553182,1524487,1009033,515454,6.33,6.02,4.37,8.85
2023-02,2023,Feb,Meghalaya,Bangalore,Yes,55-60,No Formal Education,Poor,24434577,22375837,2058740,1168400,890340,8.43,8.02,8.19,10.68
2023-03,2023,Mar,Meghalaya,Non-Metro,No,55-60,Undergraduate,Poor,23719336,22208137,1511199,976395,534804,6.37,7.00,5.15,10.72
2023-04,2023,Apr,Meghalaya,Mumbai,Yes,25-34,No Formal Education,Upper Middle,24315161,23389030,926131,646202,279929,3.81,5.00,4.56,9.46
2023-05,2023,May,Meghalaya,Pune,Yes,55-60,No Formal Education,Lower Middle,25765017,24374270,1390747,807420,583327,5.40,6.81,6.38,8.41
2023-06,2023,Jun,Meghalaya,Kolkata,Yes,18-24,Higher Secondary,Lower Middle,24752198,22705951,2046247,1285098,761149,8.27,7.43,6.42,13.90
2023-07,2023,Jul,Meghalaya,Pune,Yes,55-60,Postgraduate,Poor,24965913,22748093,2217820,1479935,737885,8.88,8.63,9.67,14.61
2023-08,2023,Aug,Meghalaya,Pune,Yes,55-60,No Formal Education,Lower Middle,25459158,23077986,2381172,1583156,798016,9.35,11.16,7.61,14.55
2023-09,2023,Sep,Meghalaya,Mumbai,Yes,18-24,No Formal Education,Upper Middle,24493910,22977783,1516127,930874,585253,6.19,6.46,5.12,9.31
2023-10,2023,Oct,Meghalaya,Non-Metro,No,55-60,No Formal Education,Poor,26085994,23894409,2191585,1255788,935797,8.40,8.48,9.31,14.09
2023-11,2023,Nov,Meghalaya,Non-Metro,No,55-60,Primary School,Upper Middle,25799441,24058121,1741320,970366,770954,6.75,7.12,7.29,10.56
2023-12,2023,Dec,Meghalaya,Hyderabad,Yes,25-34,Primary School,Rich,24721340,22494323,2227017,1277226,949791,9.01,10.10,8.60,12.58
2024-01,2024,Jan,Meghalaya,Non-Metro,No,18-24,Undergraduate,Poor,23900613,22061973,1838640,1118816,719824,7.69,7.15,6.22,10.83
2024-02,2024,Feb,Meghalaya,Mumbai,Yes,45-54,Undergraduate,Lower Middle,26045242,24175130,1870112,1234491,635621,7.18,8.59,7.16,10.77
2024-03,2024,Mar,Meghalaya,Non-Metro,No,18-24,Undergraduate,Upper Middle,24594951,22178556,2416395,1469695,946700,9.82,10.04,9.86,12.09
2024-04,2024,Apr,Meghalaya,Non-Metro,No,55-60,Higher Secondary,Upper Middle,25143103,23351134,1791969,1193101,598868,7.13,9.02,7.18,12.30
2024-05,2024,May,Meghalaya,Non-Metro,No,45-54,No Formal Education,Lower Middle,24879352,23363344,1516008,905340,610668,6.09,5.62,4.69,9.22
2024-06,2024,Jun,Meghalaya,Bangalore,Yes,25-34,Higher Secondary,Poor,26153466,24439498,1713968,1011586,702382,6.55,6.44,5.20,9.19
2024-07,2024,Jul,Meghalaya,Pune,Yes,25-34,No Formal Education,Poor,23710648,22367019,1343629,901166,442463,5.67,6.21,5.68,11.06
2024-08,2024,Aug,Meghalaya,Non-Metro,No,55-60,Secondary School,Upper Middle,23687961,22179918,1508043,920559,587484,6.37,6.96,5.41,10.45
2024-09,2024,Sep,Meghalaya,Non-Metro,No,45-54,No Formal Education,Rich,25443133,24146421,1296712,880707,416005,5.10,5.99,3.34,9.05
2024-10,2024,Oct,Meghalaya,Pune,Yes,55-60,Undergraduate,Poor,24049841,21495028,2554813,1546802,1008011,10.62,11.34,11.33,14.20
2024-11,2024,Nov,Meghalaya,Non-Metro,No,35-44,Secondary School,Lower Middle,23918837,21181874,2736963,1852043,884920,11.44,10.50,11.26,14.55
2024-12,2024,Dec,Meghalaya,Kolkata,Yes,25-34,Postgraduate,Poor,25812249,23913978,1898271,1124761,773510,7.35,6.46,6.58,10.51
2020-01,2020,Jan,Mizoram,Non-Metro,No,55-60,Undergraduate,Rich,40349206,37686321,2662885,1705947,956938,6.60,6.39,6.21,10.40
2020-02,2020,Feb,Mizoram,Non-Metro,No,45-54,Undergraduate,Upper Middle,39684905,35796398,3888507,2191837,1696670,9.80,11.10,10.68,13.80
2020-03,2020,Mar,Mizoram,Non-Metro,No,25-34,Undergraduate,Lower Middle,39840009,37169630,2670379,1828005,842374,6.70,7.00,5.94,8.85
2020-04,2020,Apr,Mizoram,Non-Metro,No,35-44,Postgraduate,Poor,39915887,37898747,2017140,1277102,740038,5.05,4.59,3.81,10.30
2020-05,2020,May,Mizoram,Non-Metro,No,35-44,Higher Secondary,Poor,38167604,36637497,1530107,916267,613840,4.01,4.61,2.44,6.05
2020-06,2020,Jun,Mizoram,Mumbai,Yes,25-34,Higher Secondary,Upper Middle,41154252,38283578,2870674,1654740,1215934,6.98,6.92,5.24,9.87
2020-07,2020,Jul,Mizoram,Non-Metro,No,45-54,Primary School,Lower Middle,40555898,37960536,2595362,1530149,1065213,6.40,7.22,7.29,10.76
2020-08,2020,Aug,Mizoram,Non-Metro,No,25-34,Postgraduate,Rich,39808876,38058283,1750593,1113395,637198,4.40,5.75,4.34,9.39
2020-09,2020,Sep,Mizoram,Delhi,Yes,25-34,Undergraduate,Upper Middle,40473731,38517648,1956083,1224336,731747,4.83,6.50,5.37,8.93
2020-10,2020,Oct,Mizoram,Non-Metro,No,45-54,No Formal Education,Rich,40688533,37302517,3386016,2310964,1075052,8.32,9.58,6.98,11.88
2020-11,2020,Nov,Mizoram,Ahmedabad,Yes,25-34,Higher Secondary,Upper Middle,39539942,36448658,3091284,1799781,1291503,7.82,7.35,8.05,10.83
2020-12,2020,Dec,Mizoram,Pune,Yes,45-54,Primary School,Poor,39740985,36429268,3311717,2013122,1298595,8.33,7.70,7.61,11.48
2021-01,2021,Jan,Mizoram,Non-Metro,No,45-54,Higher Secondary,Upper Middle,38859001,36527364,2331637,1539139,792498,6.00,6.44,6.79,10.83
2021-02,2021,Feb,Mizoram,Mumbai,Yes,45-54,Secondary School,Lower Middle,40913776,38687611,2226165,1290151,936014,5.44,7.00,4.13,8.75
2021-03,2021,Mar,Mizoram,Non-Metro,No,45-54,Primary School,Upper Middle,38006061,35377024,2629037,1710728,918309,6.92,8.33,7.29,9.43
2021-04,2021,Apr,Mizoram,Bangalore,Yes,35-44,Postgraduate,Lower Middle,39518975,37918064,1600911,921360,679551,4.05,4.29,4.89,6.56
2021-05,2021,May,Mizoram,Non-Metro,No,55-60,Undergraduate,Poor,38499006,36332697,2166309,1470237,696072,5.63,6.33,5.04,9.61
2021-06,2021,Jun,Mizoram,Non-Metro,No,55-60,No Formal Education,Rich,40851152,37041067,3810085,2145710,1664375,9.33,8.75,9.48,13.08
2021-07,2021,Jul,Mizoram,Kolkata,Yes,45-54,Postgraduate,Rich,39950995,37980401,1970594,1121232,849362,4.93,4.37,4.59,9.94
2021-08,2021,Aug,Mizoram,Non-Metro,No,25-34,Higher Secondary,Rich,39053621,36534386,2519235,1468258,1050977,6.45,6.06,5.66,11.83
2021-09,2021,Sep,Mizoram,Chennai,Yes,35-44,Undergraduate,Rich,40759632,36853186,3906446,2492028,1414418,9.58,11.56,7.97,11.87
2021-10,2021,Oct,Mizoram,Non-Metro,No,55-60,Undergraduate,Lower Middle,41435211,39599333,1835878,1092852,743026,4.43,5.96,4.18,6.68
2021-11,2021,Nov,Mizoram,Ahmedabad,Yes,55-60,No Formal Education,Poor,39160563,35894983,3265580,1939317,1326263,8.34,9.06,8.90,11.31
2021-12,2021,Dec,Mizoram,Delhi,Yes,55-60,Secondary School,Lower Middle,41426275,37594537,3831738,2118401,1713337,9.25,10.22,8.57,11.43
2022-01,2022,Jan,Mizoram,Ahmedabad,Yes,55-60,Secondary School,Upper Middle,38043535,35424946,2618589,1711177,907412,6.88,7.61,6.75,10.91
2022-02,2022,Feb,Mizoram,Hyderabad,Yes,45-54,Postgraduate,Upper Middle,41189964,37625877,3564087,2420554,1143533,8.65,9.74,7.91,12.92
2022-03,2022,Mar,Mizoram,Delhi,Yes,55-60,Secondary School,Lower Middle,41589189,39772109,1817080,1035910,781170,4.37,3.71,2.65,7.70
2022-04,2022,Apr,Mizoram,Mumbai,Yes,55-60,Primary School,Poor,39419193,35627505,3791688,2207312,1584376,9.62,8.72,8.58,14.86
2022-05,2022,May,Mizoram,Ahmedabad,Yes,45-54,Postgraduate,Lower Middle,40714928,36958347,3756581,2241348,1515233,9.23,8.75,9.77,12.42
2022-06,2022,Jun,Mizoram,Ahmedabad,Yes,18-24,Undergraduate,Upper Middle,40317474,36737961,3579513,2238722,1340791,8.88,8.85,7.35,12.23
2022-07,2022,Jul,Mizoram,Ahmedabad,Yes,45-54,No Formal Education,Lower Middle,40049671,37270040,2779631,1892317,887314,6.94,8.90,7.14,12.05
2022-08,2022,Aug,Mizoram,Ahmedabad,Yes,18-24,No Formal Education,Poor,41410986,38598863,2812123,1637628,1174495,6.79,8.28,6.12,11.07
2022-09,2022,Sep,Mizoram,Hyderabad,Yes,35-44,No Formal Education,Lower Middle,40383950,38006773,2377177,1602708,774469,5.89,6.67,4.38,8.38
2022-10,2022,Oct,Mizoram,Chennai,Yes,25-34,Postgraduate,Upper Middle,41840524,38884375,2956149,1800465,1155684,7.07,6.68,5.51,12.25
2022-11,2022,Nov,Mizoram,Chennai,Yes,45-54,No Formal Education,Upper Middle,39390810,36494122,2896688,1921572,975116,7.35,7.30,7.78,10.42
2022-12,2022,Dec,Mizoram,Non-Metro,No,45-54,No Formal Education,Rich,38786615,36392951,2393664,1612866,780798,6.17,6.37,4.68,11.22
2023-01,2023,Jan,Mizoram,Delhi,Yes,25-34,Postgraduate,Rich,38033976,35036634,2997342,1901205,1096137,7.88,7.46,7.80,12.50
2023-02,2023,Feb,Mizoram,Mumbai,Yes,55-60,No Formal Education,Upper Middle,41736890,38547335,3189555,2125118,1064437,7.64,7.20,6.92,11.84
2023-03,2023,Mar,Mizoram,Mumbai,Yes,18-24,Higher Secondary,Rich,39500684,35971752,3528932,2081353,1447579,8.93,9.87,9.00,12.42
2023-04,2023,Apr,Mizoram,Ahmedabad,Yes,25-34,Secondary School,Upper Middle,38975404,34998584,3976820,2640442,1336378,10.20,9.24,10.29,13.71
2023-05,2023,May,Mizoram,Pune,Yes,45-54,Higher Secondary,Poor,38741089,37200579,1540510,925935,614575,3.98,3.47,4.91,6.41
2023-06,2023,Jun,Mizoram,Mumbai,Yes,18-24,Primary School,Lower Middle,41648459,38287453,3361006,2309134,1051872,8.07,8.09,6.97,12.38
2023-07,2023,Jul,Mizoram,Non-Metro,No,35-44,No Formal Education,Poor,39072231,34218840,4853391,2936513,1916878,12.42,12.18,10.64,14.84
2023-08,2023,Aug,Mizoram,Pune,Yes,25-34,Secondary School,Upper Middle,41173301,38343663,2829638,1572800,1256838,6.87,8.49,6.33,10.09
2023-09,2023,Sep,Mizoram,Pune,Yes,55-60,Primary School,Rich,40180682,39270572,910110,516196,393914,2.27,3.40,1.36,7.60
2023-10,2023,Oct,Mizoram,Hyderabad,Yes,18-24,Postgraduate,Poor,39741397,36678313,3063084,2015306,1047778,7.71,8.61,8.66,10.26
2023-11,2023,Nov,Mizoram,Hyderabad,Yes,25-34,Undergraduate,Lower Middle,39592810,38276024,1316786,855344,461442,3.33,3.62,4.30,9.04
2023-12,2023,Dec,Mizoram,Hyderabad,Yes,18-24,Undergraduate,Lower Middle,39156325,37760154,1396171,791264,604907,3.57,5.39,3.70,6.75
2024-01,2024,Jan,Mizoram,Ahmedabad,Yes,25-34,Postgraduate,Poor,41168848,37769905,3398943,2247635,1151308,8.26,10.05,7.35,13.69
2024-02,2024,Feb,Mizoram,Non-Metro,No,35-44,Primary School,Rich,38990678,36171977,2818701,1767830,1050871,7.23,7.80,5.36,12.96
2024-03,2024,Mar,Mizoram,Non-Metro,No,55-60,Undergraduate,Poor,41100448,37381978,3718470,2462227,1256243,9.05,9.24,9.99,11.95
2024-04,2024,Apr,Mizoram,Delhi,Yes,55-60,Postgraduate,Lower Middle,40371748,36854933,3516815,2162651,1354164,8.71,9.82,8.25,14.20
2024-05,2024,May,Mizoram,Ahmedabad,Yes,45-54,Secondary School,Upper Middle,41666910,39153278,2513632,1525094,988538,6.03,7.18,4.44,9.20
2024-06,2024,Jun,Mizoram,Bangalore,Yes,18-24,Undergraduate,Rich,38505510,36000130,2505380,1682825,822555,6.51,8.34,6.09,10.67
2024-07,2024,Jul,Mizoram,Kolkata,Yes,35-44,Higher Secondary,Upper Middle,39826772,38617029,1209743,774744,434999,3.04,4.70,2.44,7.67
2024-08,2024,Aug,Mizoram,Non-Metro,No,25-34,Secondary School,Lower Middle,41501230,38964185,2537045,1544914,992131,6.11,7.24,6.96,9.09
2024-09,2024,Sep,Mizoram,Mumbai,Yes,35-44,Primary School,Upper Middle,38999955,36159564,2840391,1893095,947296,7.28,7.25,6.73,11.75
2024-10,2024,Oct,Mizoram,Bangalore,Yes,25-34,Primary School,Poor,39544333,35452660,4091673,2372171,1719502,10.35,11.55,9.58,13.77
2024-11,2024,Nov,Mizoram,Delhi,Yes,25-34,Higher Secondary,Poor,40100351,38595601,1504750,950280,554470,3.75,4.68,2.68,8.38
2024-12,2024,Dec,Mizoram,Bangalore,Yes,25-34,No Formal Education,Lower Middle,38768015,37341439,1426576,852719,573857,3.68,4.59,3.99,7.15
2020-01,2020,Jan,Nagaland,Bangalore,Yes,45-54,Postgraduate,Poor,31689162,30609697,1079465,650136,429329,3.41,2.50,3.72,7.89
2020-02,2020,Feb,Nagaland,Kolkata,Yes,55-60,Secondary School,Poor,31899021,29683825,2215196,1399798,815398,6.94,6.52,5.45,9.67
2020-03,2020,Mar,Nagaland,Non-Metro,No,55-60,No Formal Education,Poor,33131924,31122734,2009190,1173433,835757,6.06,7.56,5.47,10.28
2020-04,2020,Apr,Nagaland,Hyderabad,Yes,35-44,Higher Secondary,Lower Middle,32662658,29079148,3583510,2229470,1354040,10.97,12.85,11.01,15.25
2020-05,2020,May,Nagaland,Kolkata,Yes,18-24,Undergraduate,Lower Middle,31892497,29713021,2179476,1354436,825040,6.83,7.34,6.89,12.00
2020-06,2020,Jun,Nagaland,Non-Metro,No,18-24,Undergraduate,Rich,31841103,29199004,2642099,1813372,828727,8.30,8.50,6.37,11.62
2020-07,2020,Jul,Nagaland,Non-Metro,No,35-44,Higher Secondary,Poor,32673320,29815065,2858255,1626704,1231551,8.75,8.62,9.22,12.55
2020-08,2020,Aug,Nagaland,Non-Metro,No,18-24,No Formal Education,Lower Middle,31583509,29323116,2260393,1419807,840586,7.16,6.45,7.43,10.05
2020-09,2020,Sep,Nagaland,Delhi,Yes,55-60,Postgraduate,Upper Middle,31069391,28660343,2409048,1370680,1038368,7.75,8.29,6.17,10.70
2020-10,2020,Oct,Nagaland,Bangalore,Yes,55-60,Postgraduate,Poor,31414650,29870189,1544461,893208,651253,4.92,6.41,4.12,9.78
2020-11,2020,Nov,Nagaland,Hyderabad,Yes,35-44,Secondary School,Poor,32549018,30460108,2088910,1386222,702688,6.42,6.21,5.18,11.51
2020-12,2020,Dec,Nagaland,Ahmedabad,Yes,18-24,Secondary School,Upper Middle,31372593,28933968,2438625,1462246,976379,7.77,8.47,8.65,11.05
2021-01,2021,Jan,Nagaland,Bangalore,Yes,18-24,Higher Secondary,Rich,32394966,29683570,2711396,1582739,1128657,8.37,9.30,7.20,14.36
2021-02,2021,Feb,Nagaland,Bangalore,Yes,18-24,Primary School,Poor,32820833,31233673,1587160,995160,592000,4.84,6.03,4.67,10.12
2021-03,2021,Mar,Nagaland,Delhi,Yes,18-24,Undergraduate,Rich,31616907,30273590,1343317,849414,493903,4.25,6.09,4.96,9.75
2021-04,2021,Apr,Nagaland,Chennai,Yes,18-24,Higher Secondary,Poor,32530781,30561788,1968993,1361586,607407,6.05,6.54,6.59,10.07
2021-05,2021,May,Nagaland,Mumbai,Yes,35-44,Higher Secondary,Rich,30797088,29010636,1786452,1178641,607811,5.80,5.84,5.94,10.02
2021-06,2021,Jun,Nagaland,Non-Metro,No,18-24,Secondary School,Poor,32855331,30284761,2570570,1646001,924569,7.82,9.00,6.45,13.36
2021-07,2021,Jul,Nagaland,Hyderabad,Yes,35-44,Primary School,Lower Middle,30575787,29164333,1411454,975801,435653,4.62,6.33,3.64,8.12
2021-08,2021,Aug,Nagaland,Non-Metro,No,55-60,Undergraduate,Poor,32862280,29284545,3577735,2252246,1325489,10.89,11.79,11.82,14.13
2021-09,2021,Sep,Nagaland,Ahmedabad,Yes,35-44,Primary School,Rich,31710011,28233628,3476383,2351822,1124561,10.96,12.96,11.22,16.42
2021-10,2021,Oct,Nagaland,Non-Metro,No,25-34,No Formal Education,Lower Middle,32056405,30097424,1958981,1329056,629925,6.11,5.35,6.48,11.45
